"Date","Price","Open","High","Low","Vol.","Change %"
"02/02/2021","382.96","381.03","384.64","380.97","3.67M","1.42%"
"02/01/2021","377.60","375.17","378.75","372.70","4.39M","1.64%"
"01/29/2021","371.52","377.06","378.01","369.65","5.00M","-1.99%"
"01/28/2021","379.05","377.76","383.34","377.30","5.68M","0.85%"
"01/27/2021","375.87","381.63","381.70","373.43","5.59M","-2.44%"
"01/26/2021","385.27","386.81","387.20","385.00","2.22M","-0.15%"
"01/25/2021","385.84","385.12","386.18","379.88","3.89M","0.40%"
"01/22/2021","384.31","383.73","385.50","383.25","3.74M","-0.34%"
"01/21/2021","385.62","385.89","386.38","384.67","3.56M","0.09%"
"01/20/2021","385.28","382.52","386.19","382.11","3.43M","1.38%"
"01/19/2021","380.05","379.73","380.61","378.15","7.10M","0.78%"
"01/15/2021","377.10","378.09","378.92","375.08","10.18M","-0.72%"
"01/14/2021","379.84","381.96","382.53","379.43","7.00M","-0.35%"
"01/13/2021","381.16","380.12","382.24","379.24","3.76M","0.25%"
"01/12/2021","380.20","380.20","381.23","377.77","3.49M","0.02%"
"01/11/2021","380.14","379.23","381.92","379.12","3.37M","-0.65%"
"01/08/2021","382.64","382.01","382.86","378.49","3.40M","0.57%"
"01/07/2021","380.47","377.47","381.26","377.28","6.05M","1.48%"
"01/06/2021","374.92","371.02","378.37","370.46","4.34M","0.60%"
"01/05/2021","372.67","369.44","373.83","369.44","4.31M","0.66%"
"01/04/2021","370.22","376.69","376.82","366.16","7.10M","-1.38%"
"12/31/2020","375.39","373.20","376.04","372.60","4.71M","0.56%"
"12/30/2020","373.30","373.74","374.43","372.95","2.73M","0.13%"
"12/29/2020","372.81","375.15","375.40","372.20","5.40M","-0.19%"
"12/28/2020","373.53","373.15","373.94","372.44","2.34M","0.87%"
"12/24/2020","370.31","369.42","370.36","368.81","2.04M","0.39%"
"12/23/2020","368.88","369.63","370.95","368.70","3.23M","0.09%"
"12/22/2020","368.56","369.49","369.67","367.42","3.44M","-0.19%"
"12/21/2020","369.27","366.30","370.14","363.38","5.22M","-0.33%"
"12/18/2020","370.49","372.36","372.48","368.36","6.70M","-0.40%"
"12/17/2020","371.96","371.69","372.19","369.87","6.49M","0.56%"
"12/16/2020","369.90","369.62","370.91","368.62","5.51M","0.16%"
"12/15/2020","369.31","367.14","369.35","365.69","8.47M","1.36%"
"12/14/2020","364.35","368.44","369.57","364.21","3.80M","-0.89%"
"12/11/2020","367.62","366.27","367.93","364.62","4.50M","-0.12%"
"12/10/2020","368.08","366.75","369.21","365.81","3.15M","-0.05%"
"12/09/2020","368.28","372.28","372.42","367.32","3.76M","-0.87%"
"12/08/2020","371.53","369.07","372.16","369.06","3.49M","0.28%"
"12/07/2020","370.50","370.43","370.99","369.12","3.16M","-0.19%"
"12/04/2020","371.19","368.68","371.20","368.62","4.09M","0.86%"
"12/03/2020","368.03","368.02","369.53","366.88","3.07M","-0.02%"
"12/02/2020","368.10","366.16","368.27","365.55","4.12M","0.21%"
"12/01/2020","367.32","366.90","368.99","366.27","3.72M","1.10%"
"11/30/2020","363.32","364.18","364.39","360.50","4.09M","-0.45%"
"11/27/2020","364.98","365.19","365.52","363.97","1.35M","0.27%"
"11/25/2020","363.99","364.40","364.48","362.80","3.83M","-0.14%"
"11/24/2020","364.51","361.52","365.10","360.60","3.76M","1.60%"
"11/23/2020","358.77","358.65","360.05","356.17","2.73M","0.60%"
"11/20/2020","356.63","358.79","359.04","356.53","2.70M","-0.67%"
"11/19/2020","359.04","356.85","359.50","355.49","3.32M","0.41%"
"11/18/2020","357.59","362.21","362.82","357.53","3.18M","-1.20%"
"11/17/2020","361.95","361.27","363.24","359.69","2.66M","-0.51%"
"11/16/2020","363.80","362.34","363.87","360.93","3.33M","1.24%"
"11/13/2020","359.34","356.52","360.19","355.99","2.69M","1.36%"
"11/12/2020","354.52","356.85","357.69","352.54","3.79M","-0.95%"
"11/11/2020","357.93","357.66","358.86","356.43","2.49M","0.72%"
"11/10/2020","355.37","354.77","356.42","351.87","5.17M","-0.13%"
"11/09/2020","355.83","365.29","365.69","355.34","9.11M","1.25%"
"11/06/2020","351.44","351.17","352.76","348.95","2.87M","-0.01%"
"11/05/2020","351.47","350.54","353.44","350.13","6.90M","1.96%"
"11/04/2020","344.73","342.07","349.19","340.74","6.50M","2.21%"
"11/03/2020","337.28","334.86","339.43","334.35","6.56M","1.79%"
"11/02/2020","331.36","331.38","333.53","328.38","4.66M","1.14%"
"10/30/2020","327.62","329.42","330.82","323.72","6.63M","-1.07%"
"10/29/2020","331.15","328.10","334.54","326.26","5.16M","1.00%"
"10/28/2020","327.88","333.24","334.00","327.30","7.10M","-3.40%"
"10/27/2020","339.43","340.93","341.30","339.16","4.23M","-0.34%"
"10/26/2020","340.59","343.32","344.19","336.81","4.33M","-1.84%"
"10/23/2020","346.96","347.16","347.19","344.36","1.80M","0.32%"
"10/22/2020","345.86","344.20","346.45","341.88","2.46M","0.57%"
"10/21/2020","343.90","344.52","346.79","343.63","3.69M","-0.19%"
"10/20/2020","344.57","344.67","348.10","343.89","2.82M","0.39%"
"10/19/2020","343.22","349.88","350.52","342.30","2.97M","-1.50%"
"10/16/2020","348.45","350.27","351.97","348.34","2.77M","-0.09%"
"10/15/2020","348.76","344.92","349.24","344.31","3.02M","-0.12%"
"10/14/2020","349.19","351.95","353.08","348.37","2.37M","-0.63%"
"10/13/2020","351.39","353.51","353.60","350.33","2.66M","-0.65%"
"10/12/2020","353.69","350.78","355.25","350.28","2.30M","1.63%"
"10/09/2020","348.01","346.79","348.54","346.09","3.38M","0.88%"
"10/08/2020","344.98","344.07","345.03","343.06","4.17M","0.90%"
"10/07/2020","341.90","339.28","342.80","339.28","3.12M","1.74%"
"10/06/2020","336.06","341.13","343.35","335.56","3.93M","-1.42%"
"10/05/2020","340.90","337.21","341.12","337.20","3.21M","1.75%"
"10/04/2020","335.05","335.05","335.05","335.05","","0.00%"
"10/03/2020","335.05","335.05","335.05","335.05","","0.00%"
"10/02/2020","335.05","332.82","337.09","332.38","4.09M","-0.94%"
"10/01/2020","338.24","338.83","339.87","336.18","3.38M","0.65%"
"09/30/2020","336.06","334.34","339.47","334.10","4.75M","0.76%"
"09/29/2020","333.51","335.21","335.89","332.78","2.54M","-0.55%"
"09/28/2020","335.36","334.36","336.10","333.31","3.41M","1.66%"
"09/27/2020","329.88","329.88","329.88","329.88","","0.00%"
