volume,vw,open,close,high,low,timestamp,transactions
35561550.0,1.5464,1.5553,1.5453,1.566,1.5307,2011-02-18 05:00:00,12140
30968100.0,1.474,1.5253,1.458,1.5333,1.452,2011-02-22 05:00:00,10680
24085620.0,1.4556,1.4787,1.4553,1.5,1.4073,2011-02-23 05:00:00,9161
15831750.0,1.4787,1.452,1.502,1.5053,1.4333,2011-02-24 05:00:00,6175
20208855.0,1.5665,1.5207,1.574,1.59,1.5127,2011-02-25 05:00:00,6651
15766590.0,1.5926,1.5827,1.5927,1.6067,1.5667,2011-02-28 05:00:00,6253
16595250.0,1.5963,1.6033,1.596,1.6213,1.58,2011-03-01 05:00:00,7288
9949410.0,1.6004,1.588,1.6013,1.6187,1.5817,2011-03-02 05:00:00,4805
9602100.0,1.6235,1.632,1.624,1.6527,1.604,2011-03-03 05:00:00,3367
23701500.0,1.6421,1.632,1.6633,1.666,1.5853,2011-03-04 05:00:00,7780
30502965.0,1.6632,1.662,1.6627,1.6933,1.6467,2011-03-07 05:00:00,12311
20997765.0,1.6473,1.64,1.644,1.664,1.6,2011-03-08 05:00:00,9372
13870815.0,1.6479,1.644,1.648,1.666,1.618,2011-03-09 05:00:00,6719
15255705.0,1.6008,1.6293,1.6007,1.6327,1.582,2011-03-10 05:00:00,6585
13961910.0,1.5919,1.59,1.6047,1.6167,1.5687,2011-03-11 05:00:00,6965
17489565.0,1.5784,1.588,1.55,1.6,1.5467,2011-03-14 04:00:00,7045
19783035.0,1.5015,1.48,1.53,1.5307,1.4533,2011-03-15 04:00:00,7438
17545140.0,1.5268,1.524,1.5213,1.55,1.5127,2011-03-16 04:00:00,7855
13837560.0,1.5238,1.5493,1.5207,1.562,1.5093,2011-03-17 04:00:00,4944
10317345.0,1.5222,1.546,1.5307,1.546,1.5007,2011-03-18 04:00:00,4083
6174750.0,1.5164,1.5367,1.5153,1.5367,1.5027,2011-03-21 04:00:00,2536
8742195.0,1.4815,1.5153,1.4793,1.524,1.4667,2011-03-22 04:00:00,3692
6337395.0,1.4691,1.474,1.4807,1.4847,1.4513,2011-03-23 04:00:00,2484
6932400.0,1.4824,1.476,1.4887,1.492,1.4653,2011-03-24 04:00:00,2508
8518830.0,1.5181,1.4953,1.5167,1.5333,1.4933,2011-03-25 04:00:00,3868
15870270.0,1.5409,1.5133,1.55,1.5693,1.5033,2011-03-28 04:00:00,6284
11333865.0,1.5847,1.5533,1.5947,1.6,1.5473,2011-03-29 04:00:00,4553
18358155.0,1.5853,1.6073,1.5807,1.6327,1.534,2011-03-30 04:00:00,7183
172835055.0,1.8456,1.77,1.85,1.914,1.7667,2011-03-31 04:00:00,47579
42976305.0,1.8197,1.83,1.7773,1.8787,1.7713,2011-04-01 04:00:00,12727
39138405.0,1.7173,1.7887,1.722,1.8,1.682,2011-04-04 04:00:00,14485
47725905.0,1.7636,1.7267,1.78,1.8,1.7127,2011-04-05 04:00:00,14194
19324455.0,1.7541,1.7993,1.766,1.8007,1.72,2011-04-06 04:00:00,6599
42161490.0,1.8185,1.79,1.816,1.8627,1.7633,2011-04-07 04:00:00,15566
29195280.0,1.7949,1.8387,1.766,1.84,1.7573,2011-04-08 04:00:00,10548
20583000.0,1.7076,1.7647,1.6847,1.7687,1.668,2011-04-11 04:00:00,7946
20356515.0,1.6507,1.672,1.6433,1.6807,1.62,2011-04-12 04:00:00,7954
18171660.0,1.6809,1.6753,1.662,1.7127,1.654,2011-04-13 04:00:00,7654
14750730.0,1.6543,1.658,1.676,1.6853,1.6133,2011-04-14 04:00:00,6126
14151765.0,1.7141,1.71,1.7053,1.7453,1.694,2011-04-15 04:00:00,5452
15508065.0,1.6666,1.6753,1.6687,1.708,1.624,2011-04-18 04:00:00,5785
8230395.0,1.6679,1.684,1.6773,1.684,1.6433,2011-04-19 04:00:00,3104
12562035.0,1.7109,1.7133,1.7167,1.7393,1.6867,2011-04-20 04:00:00,5095
20790795.0,1.7575,1.7233,1.7827,1.7987,1.706,2011-04-21 04:00:00,7099
12012585.0,1.7567,1.78,1.7593,1.782,1.7313,2011-04-25 04:00:00,4526
20585145.0,1.7887,1.7773,1.7953,1.8167,1.754,2011-04-26 04:00:00,7546
14953515.0,1.8015,1.7953,1.8053,1.824,1.7753,2011-04-27 04:00:00,6199
24674955.0,1.8253,1.8047,1.844,1.846,1.7813,2011-04-28 04:00:00,7358
10895100.0,1.8455,1.846,1.84,1.858,1.828,2011-04-29 04:00:00,3855
11768400.0,1.8298,1.84,1.83,1.8533,1.804,2011-05-02 04:00:00,4813
13709475.0,1.7936,1.8253,1.7913,1.826,1.7667,2011-05-03 04:00:00,4918
15707535.0,1.774,1.7853,1.7793,1.8,1.7167,2011-05-04 04:00:00,5583
18291735.0,1.7928,1.8133,1.7627,1.8293,1.7447,2011-05-05 04:00:00,6964
14724090.0,1.8122,1.7933,1.808,1.8467,1.7747,2011-05-06 04:00:00,5472
13744545.0,1.8418,1.8,1.8607,1.8667,1.79,2011-05-09 04:00:00,4766
23034390.0,1.8935,1.8827,1.8887,1.93,1.8607,2011-05-10 04:00:00,8405
14444475.0,1.8323,1.88,1.8047,1.8866,1.7947,2011-05-11 04:00:00,5177
9416100.0,1.8229,1.8047,1.8447,1.8493,1.7767,2011-05-12 04:00:00,3677
9923655.0,1.8415,1.8667,1.8367,1.8793,1.82,2011-05-13 04:00:00,4032
11334330.0,1.807,1.866,1.7733,1.866,1.77,2011-05-16 04:00:00,4939
18512340.0,1.745,1.8,1.7307,1.8,1.7147,2011-05-17 04:00:00,7671
10941105.0,1.7476,1.74,1.7567,1.7647,1.7013,2011-05-18 04:00:00,4409
39830505.0,1.8473,1.802,1.88,1.896,1.7733,2011-05-19 04:00:00,15104
12638010.0,1.8549,1.884,1.8647,1.8853,1.8233,2011-05-20 04:00:00,5101
12953220.0,1.8023,1.8413,1.788,1.8413,1.7747,2011-05-23 04:00:00,5195
9205095.0,1.8004,1.8013,1.7813,1.8333,1.7733,2011-05-24 04:00:00,3796
70407165.0,1.858,1.7933,1.932,1.934,1.7447,2011-05-25 04:00:00,24224
50053365.0,1.9413,1.9213,1.9653,1.984,1.8733,2011-05-26 04:00:00,15667
25306035.0,1.9578,1.9693,1.97,1.978,1.9213,2011-05-27 04:00:00,8353
49357830.0,1.9974,1.9793,2.0093,2.0187,1.97,2011-05-31 04:00:00,16784
22955940.0,1.9589,2.0,1.9011,2.0067,1.892,2011-06-01 04:00:00,9725
14794410.0,1.9227,1.9013,1.9173,1.9547,1.9007,2011-06-02 04:00:00,5990
93150315.0,2.0298,1.9967,2.0087,2.1,1.9667,2011-06-03 04:00:00,32013
34976505.0,1.9248,2.0067,1.9133,2.0087,1.884,2011-06-06 04:00:00,12722
18331485.0,1.9108,1.9293,1.8913,1.9593,1.884,2011-06-07 04:00:00,7309
25454040.0,1.8398,1.896,1.808,1.9067,1.8013,2011-06-08 04:00:00,10678
24063300.0,1.843,1.8287,1.8413,1.8733,1.8067,2011-06-09 04:00:00,10055
